idno,netustm,ppltrst,vote,prtvtddk,lvpntyr,tygrtr,gndr,yrbrn,edlvddk,eduyrs,wkhct,wkhtot,grspnum,frlgrsp,inwtm
110,180,8,Yes,Socialdemokratiet - The Social democrats,1968,Never too young,Male,1949,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",9,28,28,Not applicable,Not applicable,119
705,60,5,Yes,Det Konservative Folkeparti - Conservative People's Party,1976,67,Male,1958,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",22,37,45,Not applicable,Not applicable,55
1327,240,5,Don't know,Not applicable,"Still in parental home, never left 2 months",Don't know,Male,2000,Folkeskole 9.-10. klasse,11,37,37,No answer,No answer,37
3760,300,7,Not eligible to vote,Not applicable,"Still in parental home, never left 2 months",40,Male,2002,Folkeskole 9.-10. klasse,9,2,2,200,Not applicable,43
4658,90,8,Yes,Refusal,1974,50,Female,1956,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",4,30,30,Not applicable,Not applicable,62
5816,90,7,Yes,SF Socialistisk Folkeparti - Socialist People's Party,1994,60,Male,1974,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",35,37,37,37000,35000,61
7251,300,5,Yes,Dansk Folkeparti - Danish People's Party,1993,40,Female,1975,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,32,34,22000,30000,68
7887,360,8,Yes,Socialdemokratiet - The Social democrats,1983,55,Male,1958,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",25,39,39,36000,42000,89
9607,540,9,Yes,Alternativet - The Alternative,1982,64,Female,1964,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",13,32,34,32000,Not applicable,50
11123,150,7,Yes,Socialdemokratiet - The Social democrats,1994,45,Male,1974,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",16,37,37,9000,Not applicable,62
11688,Not applicable,5,Yes,Socialdemokratiet - The Social democrats,1968,50,Female,1952,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",2,37,37,Not applicable,Not applicable,77
12355,120,5,Yes,Socialdemokratiet - The Social democrats,1987,60,Male,1963,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,38,37,36000,38000,48
16357,488,5,Yes,Dansk Folkeparti - Danish People's Party,2013,50,Male,1991,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",4,37,37,40000,Not applicable,50
17504,210,4,Yes,Dansk Folkeparti - Danish People's Party,2001,45,Female,1984,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,Not applicable,10,Not applicable,Not applicable,51
19970,240,9,Yes,Liberal Alliance - Liberal Alliance,1984,60,Female,1966,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",21,36,36,85000,Not applicable,42
20724,60,5,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1981,Never too young,Male,1958,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,40,28000,34000,65
22248,121,9,Yes,Socialdemokratiet - The Social democrats,1970,Never too young,Female,1950,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",19,37,37,Not applicable,Not applicable,62
24928,120,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1984,Should never retire permanently,Male,1965,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",19,Not applicable,80,50000,Not applicable,77
27000,390,5,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1971,65,Male,1956,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",12,Not applicable,60,90000,Not applicable,51
27211,120,7,Yes,Kristendemokraterne - Christian Democrats,1983,60,Male,1969,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,15,17,26000,Not applicable,99
27650,60,7,Yes,Refusal,1993,Don't know,Male,1967,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,37,7000,Not applicable,48
28202,60,7,Yes,Det Radikale Venstre - The Radical Liberal Party,2007,60,Male,1990,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",17,37,45,28000,35000,56
