"idno","ppltrst","happy","cgtsday","alcfreq","height","weight","gndr","yrbrn"
"1",921018,"6","9",10,"2-3 times a month",178,64,"Male",1990
"2",921026,"8","8",NA,"Several times a week",172,64,"Female",1948
"3",921034,"8","8",NA,"Every day",176,87,"Male",1957
"4",921076,"8","8",NA,"Several times a week",162,70,"Female",1958
"5",921084,"5","8",NA,"Every day",175,80,"Male",1936
"6",921131,"8","8",NA,"Several times a week",160,70,"Female",1940
"7",921165,"8","Extremely happy",NA,"Once a week",167,78,"Female",1965
"8",921181,"9","9",NA,"Once a week",194,102,"Male",1956
"9",921199,"9","8",20,"2-3 times a month",176,62,"Female",1993
"10",921204,"9","8",NA,"Once a week",157,48,"Female",1941
"11",921220,"8","8",NA,"Every day",178,80,"Male",1949
"12",921254,"7","4",NA,"Once a week",185,70,"Male",1977
"13",921262,"8","8",NA,"2-3 times a month",180,93,"Male",1987
"14",921288,"8","8",NA,"Several times a week",191,95,"Male",1949
"15",921296,"5","9",NA,"Once a week",202,108,"Male",1988
"16",921319,"8","Extremely happy",10,"Once a week",185,82,"Male",1997
"17",921327,"9","9",NA,"Once a week",182,97,"Male",1940
"18",921335,"8","9",NA,"Several times a week",178,84,"Male",1945
"19",921377,"7","9",NA,"2-3 times a month",169,68,"Male",1948
"20",921393,"7","8",NA,"Less than once a month",184,67,"Male",1985
"21",921408,"7","9",1,"Several times a week",203,104,"Male",1977
"22",921416,"8","Extremely happy",40,"Several times a week",186,83,"Male",1953
"23",921424,"7","9",NA,"Several times a week",193,80,"Male",1993
"24",921432,"6","Extremely happy",6,"Once a week",180,90,"Male",1989
"25",921440,"9","9",NA,"Once a week",178,76,"Male",1975
"26",921474,"3","6",8,"Less than once a month",160,70,"Female",1980
"27",921490,"4","Extremely happy",NA,"Never",167,62,"Female",1965
"28",921505,"8","8",NA,"2-3 times a month",185,83,"Male",1968
"29",921521,"6","9",NA,"Several times a week",191,75,"Male",1987
"30",921539,"7","9",5,"Less than once a month",170,78,"Female",1982
"31",921547,"5","8",NA,"Once a month",164,68,"Female",1999
"32",921563,"4","8",8,"Several times a week",180,70,"Male",1954
"33",921571,"8","9",5,"Less than once a month",163,92,"Female",1978
"34",921589,"8","9",NA,"Never",142,50,"Female",1931
"35",921610,"6","9",NA,"Less than once a month",170,60,"Female",1978
"36",921628,"7","8",NA,"2-3 times a month",162,78,"Female",1941
"37",921636,"9","8",NA,"2-3 times a month",185,68,"Male",1996
"38",921652,"7","7",NA,"Once a week",172,65,"Female",1987
"39",921660,"8","6",NA,"2-3 times a month",173,76,"Male",1941
"40",921678,"4","Extremely happy",10,"Every day",178,65,"Male",1946
"41",921733,"5","3",NA,"Several times a week",182,95,"Male",1960
"42",921814,"9","Extremely happy",NA,"Never",196,90,"Male",1972
"43",921856,"7","8",NA,"2-3 times a month",158,79,"Female",1969
"44",921864,"8","7",20,"Several times a week",169,66,"Male",1994
"45",921872,"4","5",15,"Never",165,69,"Female",1983
"46",921880,"7","9",NA,"Once a week",180,80,"Female",1963
"47",921898,"8","Extremely happy",NA,"2-3 times a month",177,66,"Female",1966
"48",921903,"8","Extremely happy",3,"2-3 times a month",170,76,"Male",1967
"49",921911,"5","1",20,"Every day",175,98,"Male",1969
"50",921937,"4","4",10,"Several times a week",180,64,"Male",1994
"51",921945,"6","7",NA,"Once a week",183,106,"Male",1976
"52",921953,"8","9",NA,"Every day",172,82,"Female",1935
"53",921987,"7","7",NA,"Once a week",179,74,"Male",1964
"54",922006,"7","Extremely happy",20,"Less than once a month",167,106,"Female",1964
"55",922014,"5","9",NA,"2-3 times a month",161,50,"Female",1991
"56",922048,"9","3",0,"Every day",165,70,"Male",1929
"57",922056,"6","8",NA,"Every day",153,58,"Female",1973
"58",922072,"7","9",NA,"Once a month",162,69,"Female",1988
"59",922080,"5","6",20,"Several times a week",184,87,"Male",1975
"60",922098,"4","9",3,"Less than once a month",186,69,"Male",1947
"61",922103,"9","8",20,"Every day",189,76,"Male",1949
"62",922111,"8","9",NA,"Every day",169,60,"Female",1944
"63",922129,"4","8",NA,"Several times a week",185,70,"Male",1998
"64",922200,"8","8",NA,"Once a month",188,105,"Male",1975
"65",922226,"5","8",NA,"Several times a week",173,80,"Male",1941
"66",922250,"8","8",NA,"Several times a week",178,72,"Female",1937
"67",922268,"9","Extremely happy",8,"Several times a week",170,85,"Female",1971
"68",922276,"9","Extremely happy",NA,"Several times a week",171,50,"Male",1952
"69",922284,"7","8",6,"Every day",176,77,"Male",1947
"70",922292,"8","Extremely happy",NA,"Once a week",169,65,"Female",1968
"71",922315,"7","7",NA,"Several times a week",183,88,"Male",1942
"72",922323,"6","8",NA,"Once a week",155,47,"Female",1940
"73",922381,"5","9",NA,"Less than once a month",177,75,"Male",1969
"74",922399,"8","9",NA,"Less than once a month",176,73,"Male",1959
"75",922404,"8","Extremely happy",NA,"Once a week",177,63,"Male",1999
"76",922412,"8","9",NA,"2-3 times a month",172,67,"Female",1962
"77",922420,"7","Extremely happy",NA,"Once a month",164,74,"Female",1976
"78",922454,"8","8",NA,"Less than once a month",170,68,"Female",1991
"79",922462,"Most people can be trusted","Extremely happy",NA,"Once a week",160,60,"Female",1968
"80",922470,"9","8",NA,"Once a week",153,62,"Female",1936
"81",922501,"9","8",NA,"Several times a week",165,64,"Female",1970
"82",922519,"8","8",NA,"Several times a week",178,78,"Male",1953
"83",922535,"8","9",NA,"2-3 times a month",176,82,"Male",1964
"84",922543,"2","Extremely happy",NA,"Never",155,64,"Female",1970
"85",922569,"3","3",NA,"Once a month",165,58,"Female",1980
"86",922577,"6","9",NA,"2-3 times a month",168,79,"Male",1943
"87",922593,"Most people can be trusted","8",15,"Every day",163,50,"Female",1968
"88",922608,"5","9",NA,"Every day",182,80,"Male",1982
"89",922616,"Most people can be trusted","9",NA,"2-3 times a month",180,92,"Male",1953
"90",922624,"5","8",NA,"Every day",163,54,"Female",1954
"91",922640,"8","9",NA,"Once a week",172,68,"Female",1946
